,Run,Wicket,Run_Conceded,Catch,Opposition,Ground,Date,I_ODI
0,30.0,1.0,39.0,0.0,Average,Abroad Ground,6 Aug 2006,2398
1,20.0,2.0,32.0,0.0,Satisfactory,Abroad Ground,12 Aug 2006,2402
2,13.0,1.0,26.0,0.0,Satisfactory,Abroad Ground,13 Aug 2006,2403
3,25.0,0.0,28.0,0.0,Satisfactory,Abroad Ground,15 Aug 2006,2404
4,67.0,0.0,23.0,0.0,Good,Abroad Ground,7 Oct 2006,2423
5,0.0,0.0,12.0,0.0,Good,Abroad Ground,11 Oct 2006,2426
6,36.0,3.0,18.0,1.0,Average,Abroad Ground,13 Oct 2006,2427
7,,2.0,30.0,0.0,Average,Home Ground,30 Nov 2006,2453
8,36.0,2.0,44.0,0.0,Average,Home Ground,3 Dec 2006,2457
9,26.0,0.0,40.0,1.0,Average,Home Ground,5 Dec 2006,2459
10,31.0,2.0,32.0,0.0,Average,Home Ground,8 Dec 2006,2461
11,13.0,0.0,29.0,0.0,Average,Home Ground,9 Dec 2006,2462
12,20.0,1.0,13.0,0.0,Satisfactory,Home Ground,15 Dec 2006,2465
13,44.0,1.0,8.0,1.0,Satisfactory,Home Ground,17 Dec 2006,2467
14,68.0,1.0,40.0,0.0,Average,Abroad Ground,4 Feb 2007,2505
15,22.0,1.0,27.0,0.0,Average,Abroad Ground,6 Feb 2007,2511
16,11.0,1.0,29.0,0.0,Average,Abroad Ground,9 Feb 2007,2516
17,25.0,1.0,42.0,1.0,Average,Abroad Ground,10 Feb 2007,2518
18,42.0,1.0,36.0,0.0,Satisfactory,Abroad Ground,25 Feb 2007,2528
19,134.0,2.0,36.0,0.0,Satisfactory,Abroad Ground,28 Feb 2007,2530
20,53.0,0.0,44.0,0.0,Best,Abroad Ground,17 Mar 2007,2538
21,4.0,1.0,49.0,0.0,Good,Abroad Ground,21 Mar 2007,2546
22,26.0,2.0,12.0,0.0,Satisfactory,Abroad Ground,25 Mar 2007,2554
23,25.0,0.0,14.0,0.0,Good,Abroad Ground,31 Mar 2007,2559
24,25.0,0.0,33.0,0.0,Best,Abroad Ground,2 Apr 2007,2561
25,9.0,2.0,49.0,1.0,Best,Abroad Ground,7 Apr 2007,2564
26,57.0,0.0,19.0,0.0,Best,Abroad Ground,11 Apr 2007,2568
27,3.0,1.0,44.0,0.0,Average,Abroad Ground,15 Apr 2007,2572
28,0.0,1.0,38.0,0.0,Good,Abroad Ground,19 Apr 2007,2576
29,50.0,2.0,43.0,1.0,Best,Home Ground,10 May 2007,2582
30,5.0,0.0,40.0,0.0,Best,Home Ground,12 May 2007,2583
31,0.0,0.0,50.0,1.0,Good,Abroad Ground,20 Jul 2007,2605
32,15.0,,,0.0,Good,Abroad Ground,23 Jul 2007,2606
33,2.0,1.0,43.0,0.0,Good,Abroad Ground,25 Jul 2007,2607
34,6.0,3.0,56.0,0.0,Best,Abroad Ground,26 Dec 2007,2658
35,15.0,0.0,55.0,0.0,Best,Abroad Ground,28 Dec 2007,2659
36,10.0,0.0,16.0,0.0,Best,Abroad Ground,31 Dec 2007,2660
37,6.0,1.0,29.0,0.0,Best,Home Ground,9 Mar 2008,2690
38,52.0,0.0,28.0,0.0,Best,Home Ground,12 Mar 2008,2691
39,12.0,0.0,47.0,0.0,Best,Home Ground,14 Mar 2008,2692
40,,1.0,38.0,0.0,Average,Home Ground,18 Mar 2008,2693
41,2.0,2.0,16.0,0.0,Average,Home Ground,20 Mar 2008,2694
42,7.0,2.0,46.0,0.0,Average,Home Ground,22 Mar 2008,2695
